,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-09-18,242.970001,248.199997,241.949997,242.779999,242.237518,4348700.0,4348700.0,-0.19,-0.078,244.31,"September 18, 20",-0.00078
2020-09-17,242.630005,249.800003,242.110001,244.080002,243.534622,4254300.0,4254300.0,1.45,0.598,245.33,"September 17, 20",0.00598
2020-09-16,253.029999,256.179993,246.300003,250.300003,249.740723,17073300.0,17073300.0,-2.73,-1.079,250.92667,"September 16, 20",-0.01079
2020-09-15,234.990005,239.850006,230.509995,236.669998,236.141174,9847300.0,9847300.0,1.67999,0.715,235.67667,"September 15, 20",0.00715
2020-09-14,240.990005,241.0,232.570007,236.339996,235.811905,6583700.0,6583700.0,-4.65001,-1.93,236.63667,"September 14, 20",-0.0193
2020-09-11,226.440002,233.669998,225.470001,232.789993,232.269836,4865200.0,4865200.0,6.34999,2.804,230.64333,"September 11, 20",0.02804
2020-09-10,229.490005,229.490005,222.889999,224.440002,223.938507,2443300.0,2443300.0,-5.05,-2.201,225.60667,"September 10, 20",-0.02201
2020-09-09,226.0,228.850006,224.119995,225.75,225.245575,3222700.0,3222700.0,-0.25,-0.111,226.24,"September 09, 20",-0.00111
2020-09-08,223.789993,225.75,219.720001,221.050003,220.556076,2121100.0,2121100.0,-2.73999,-1.224,222.17333,"September 08, 20",-0.01224
2020-09-04,222.460007,228.240005,217.399994,226.119995,225.614746,2879800.0,2879800.0,3.65999,1.645,223.92,"September 04, 20",0.01645
2020-09-03,228.130005,231.580002,218.589996,220.970001,220.476257,4003800.0,4003800.0,-7.16,-3.139,223.71333,"September 03, 20",-0.03139
2020-09-02,227.119995,229.0,223.070007,227.910004,226.752182,1680700.0,1680700.0,0.79001,0.348,226.66,"September 02, 20",0.00348
2020-09-01,219.990005,226.550003,219.139999,225.460007,224.314636,1904800.0,1904800.0,5.47,2.486,223.71667,"September 01, 20",0.02486
2020-08-31,221.800003,224.199997,219.800003,219.839996,218.723175,1839300.0,1839300.0,-1.96001,-0.884,221.28,"August 31, 20",-0.00884
2020-08-28,218.229996,223.660004,218.009995,221.899994,220.77272,2996100.0,2996100.0,3.67,1.682,221.19,"August 28, 20",0.01682
2020-08-27,216.100006,218.880005,215.080002,218.210007,217.101471,2014900.0,2014900.0,2.11,0.976,217.39,"August 27, 20",0.00976
2020-08-26,215.729996,217.119995,214.080002,215.770004,214.673874,1518200.0,1518200.0,0.04001,0.019,215.65667,"August 26, 20",0.00019
2020-08-25,219.169998,219.580002,213.220001,214.309998,213.221283,2160200.0,2160200.0,-4.86,-2.217,215.70333,"August 25, 20",-0.02217
2020-08-24,212.960007,217.949997,211.990005,217.399994,216.295578,3393700.0,3393700.0,4.43999,2.085,215.78,"August 24, 20",0.02085
2020-08-21,209.160004,212.940002,208.5,210.490005,209.420685,2034100.0,2034100.0,1.33,0.636,210.64334,"August 21, 20",0.00636
2020-08-20,206.229996,209.199997,205.059998,208.820007,207.759186,1532800.0,1532800.0,2.59001,1.256,207.69333,"August 20, 20",0.01256
2020-08-19,206.839996,210.940002,206.839996,207.880005,206.823959,2218000.0,2218000.0,1.04001,0.503,208.55333,"August 19, 20",0.00503
2020-08-18,206.369995,208.429993,204.179993,206.970001,205.918579,3040400.0,3040400.0,0.60001,0.291,206.52666,"August 18, 20",0.00291
2020-08-17,210.0,211.559998,206.039993,206.639999,205.59024,2662000.0,2662000.0,-3.36,-1.6,208.08,"August 17, 20",-0.016
2020-08-14,202.070007,209.639999,201.860001,208.600006,207.540298,4633000.0,4633000.0,6.53,3.232,206.7,"August 14, 20",0.03232
2020-08-13,200.679993,204.789993,199.610001,203.860001,202.824371,3663800.0,3663800.0,3.18001,1.585,202.75333,"August 13, 20",0.01585
2020-08-12,200.0,206.240005,199.020004,201.960007,200.934021,6239400.0,6239400.0,1.96001,0.98,202.40667,"August 12, 20",0.0098
2020-08-11,199.990005,203.589996,195.139999,196.449997,195.452011,5998200.0,5998200.0,-3.54001,-1.77,198.39333,"August 11, 20",-0.0177
