,year,month,decision,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,grossProfitMargin,operatingProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,netIncomePerEBT,ebtPerEbit,ebitPerRevenue,debtRatio,debtEquityRatio,longTermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue
21,2005,09,,1.1593370165745855,0.9549171270718232,0.2322651933701657,154.86570650058388,16.984962406015036,55.17102702259736,115.37593984962406,-60.2049128270267,0.8274296094459582,-0.0023355391202802647,0.07123394316854807,0.04398598676527832,0.3825136612021858,0.016467502185951617,0.034142411118944505,0.03418218043708362,0.6174863387978142,1.0,0.07123394316854807,0.5176819197512873,1.073320576090241,0.19518521520629,0,0.0,0,2.0733205760902407,2.356880733944954,0.7800586510263929,5.298804780876494,0.7722444889779558,0.3743806470416789,2.586902658530128,0.3700294990490093,3.4723303883974,0.07079646017699115,0.10159595173219152,0.14303959131545338,0,0,-1.1669150521609537,-1.2102009273570324,0.07079646017699115,2.217903216864498,2.217903216864498,2.8573454055076684,64.96035705087786,196.62108071649644,28.124599029690426,28.124599029690426,15.792857866513646,2.8573454055076684,0.0010898409952017714,64.40374942216971,2.217903216864498
22,2005,12,,1.1045710707576706,0.9041953663118348,0.16405760801502814,159.98640296662546,21.421232876712327,60.869934978072024,143.24486301369862,-82.3749280356266,0.8556242274412855,-0.04672435105067985,0.09394313967861558,0.058220024721878864,0.3802631578947369,0.022205459431427092,0.04525365103766334,0.04628501827040195,0.6197368421052631,1.0,0.09394313967861558,0.5093112064494838,1.0379515757109916,0.17468876377765444,0,0.0,0,2.0379515757109914,2.2814438804286516,0.628294782140936,4.201438848920863,0.7873479318734793,0.3814058743104993,1.158386410905829,-0.9971337571149608,2.5866242016249474,0.050955414012738856,0.04351050679851669,-0.8607954545454546,0,0,-0.5374045801526718,-0.5578446909667195,0.05095541401273885,2.548694387376864,2.548694387376864,3.2789630635127813,56.3201935962174,-87.5472316297637,75.36025904493862,75.36025904493862,13.746242366289144,3.2789630635127813,0.0009047450081237137,3492.9763979772997,2.548694387376864
23,2006,03,,1.2223453779649744,1.0024384837064952,0.2485036577255597,155.11245782831438,22.928942807625646,61.17585021734701,144.04679376083192,-82.87094354348488,0.8558040734724478,-0.055104335874047235,0.08534299637635888,0.05347994502061727,0.3733528550512445,0.01987093179813362,0.039179787623581104,0.04011040638947616,0.6266471449487555,1.0,0.08534299637635888,0.4928269650401597,0.9717136580007324,0.16820223863549835,0,0.0,0,1.9717136580007324,2.353131431931785,0.6247969680563076,3.9251700680272115,0.767821164731843,0.3715585681786527,3.5711214987480373,1.8250934596922623,3.693014022229289,0.05841121495327103,0.13544920654754464,0.5110701107011071,0,0,-2.0452830188679245,-2.1465346534653467,0.05841121495327103,2.666934796482287,2.666934796482287,3.640334339219356,68.06914887096379,52.58771790031138,26.87601080883072,26.87601080883072,16.596084017695837,3.640334339219356,0.0008581158413483184,-629.6165774327604,2.666934796482287
24,2006,06,,1.1810707107619225,0.996345697058286,0.3539192399049881,151.08782670120084,24.574468085106385,61.829000696361376,152.23404255319147,-90.40504185683008,0.8672003767365201,-0.02366376265599247,0.10678125735813516,0.06687073228161054,0.3737596471885336,0.0250330542089026,0.04934410563808531,0.052680490213161416,0.6262403528114664,1.0,0.10678125735813516,0.4926840017628911,0.9711580227608376,0.1214988933831947,0,0.0,0,1.9711580227608372,2.415813424345848,0.5911949685534591,3.6623376623376624,0.7886722376973073,0.3743499338915822,4.754421051130183,2.5942105254965653,6.320736840109241,0.04225352112676056,0.17153284671532848,0.5456417295813315,0,0,-2.200906344410876,-2.2836990595611284,0.04225352112676057,2.605392458528008,2.605392458528008,3.530806756547669,52.80047991217588,37.724116465554594,20.583852155192798,20.583852155192798,12.996620270088673,3.530806756547669,0.0008002488082881388,148.22836295057948,2.605392458528008
25,2006,09,,1.3057086964253957,1.1228881380046238,0.4783923172683621,154.79929783499122,25.26315789473684,63.432847771857965,148.0263157894737,-84.59346801761573,0.8665886483323582,-0.04166179052077238,0.0901111761263897,0.05558806319485079,0.3831168831168831,0.019892788340732052,0.03951418351218701,0.0421802245960011,0.6168831168831169,1.0,0.0901111761263897,0.4965658765390736,0.98635720821895,0.1481114024519878,0,0.0,0,1.9863572082189505,2.3578918322295808,0.608,3.5625,0.7687809266756636,0.3578607923611693,2.1699999993147365,-0.11094736838601664,8.777894734070138,0.05894736842105262,0.0778232884727911,-0.05112781954887218,0,0,-0.9513590844062948,-0.9910581222056632,0.05894736842105262,2.308650588007761,2.308650588007761,3.247781008594652,58.425870986192216,-816.2437858365089,41.73276499013729,41.73276499013729,14.381287072006831,3.247781008594652,0.0010089257965017527,565.6726816341939,2.308650588007761
26,2006,12,,1.1454636759290258,0.9727150987612988,0.3105122196183462,161.76786914631413,25.042808219178077,64.93077595388567,158.73287671232876,-93.80210075844307,0.8691463141384719,-0.03685861528120098,0.09220255433564868,0.05724848756441856,0.3791008505467801,0.02067737627969085,0.04069119286510591,0.043919099204866856,0.6208991494532199,1.0,0.09220255433564868,0.4918463966333509,0.9679089026915114,0.14015748031496064,0,0.0,0,1.9679089026915115,2.256319514661274,0.566990291262136,3.5938461538461537,0.7445779112445781,0.3611864201027799,2.23211350258597,-0.2516438355770421,6.062328766174195,0.05283757338551859,0.07651803719471208,-0.11273792093704245,0,0,-0.8986842105263158,-0.9317871759890859,0.05283757338551859,2.523348587501768,2.523348587501768,3.550102124338696,62.01215569833112,-411.53521508892464,46.395624541503956,46.395624541503956,15.240945370371628,3.550102124338696,0.0008520518725805327,318.802115618472,2.523348587501768
27,2007,03,,1.1727902946273832,0.9870017331022529,0.30675909878682844,166.73940875232773,24.230769230769234,65.34459604641168,142.07357859531774,-76.72898254890606,0.8608007448789572,-0.06459497206703911,0.07320763500931099,0.048882681564245814,0.3322734499205087,0.01681816361670604,0.032282859338970016,0.032755298651252415,0.6677265500794912,1.0,0.07320763500931099,0.4790373603491771,0.9195234435049962,0.13353313353313356,0,0.0,0,1.919523443504996,2.189044585987261,0.6334745762711864,3.7142857142857135,0.7060563727504314,0.3440515757017579,2.4660000005284286,0.3359761905481854,5.773571429808623,0.06666666666666668,0.08798882681564246,0.13624338624338625,0,0,-1.1577335375191424,-1.2096,0.06666666666666668,2.41680088818648,2.41680088818648,3.6595181046678418,74.86328465549072,305.26776267287477,41.59071369749485,41.59071369749485,18.434367864783756,3.6595181046678418,0.0008905121779448547,-301.69123386005816,2.41680088818648
28,2007,06,,1.2212601326455417,1.0152910832719233,0.2890567428150332,157.2319965031144,25.736040609137053,64.50557399346664,153.50253807106597,-88.99696407759933,0.8708337886569774,-0.018577204677084472,0.10851273084908754,0.06665938148836192,0.3856998992950655,0.025416666666666667,0.048198482932996216,0.053467585612750376,0.6143001007049346,1.0,0.10851273084908754,0.4726666666666667,0.8963337547408344,0.1368751278728773,0,0.0,0,1.8963337547408343,2.321410451547438,0.5863095238095238,3.497041420118343,0.7242006964229186,0.38129166666666653,4.725506072874494,2.231578947368421,5.081781376518219,0.04426229508196721,0.1594361271992132,0.4722412611377656,0,0,-1.8948051948051947,-1.9636608344549125,0.04426229508196721,2.4468632664348924,2.4468632664348924,3.3840565511965903,50.76639590163935,44.94557547169811,21.22515524331734,21.22515524331734,12.589658421390476,3.3840565511965903,0.0008718817693445497,105.74242929292929,2.4468632664348924
29,2007,09,,1.326517571884984,1.0800851970181045,0.23684771033013846,157.08609631481684,25.95278246205734,64.68634045749161,153.13659359190555,-88.45025313441393,0.8710729427111643,-0.04043917817154039,0.0855527774758126,0.05370148929231438,0.37229987293519695,0.020664268384505986,0.03736479842674533,0.040966113164332935,0.6277001270648029,1.0,0.0855527774758126,0.4469589224462478,0.8081839497768701,0.1317966903073286,0,0.0,0,1.80818394977687,2.323566557211417,0.5877106045589693,3.467836257309941,0.7107316696283705,0.3847987952815193,2.60080971659919,-2.377327935222672,3.6016194331983806,0.06275303643724696,0.08729209696706164,-0.9140722291407224,0,0,-0.5224463240078074,-0.5332005312084993,0.06275303643724696,2.30369395280236,2.30369395280236,3.3109183335145125,61.654125,-41.49473807901908,37.92918773349938,37.92918773349938,15.289727786144578,3.3109183335145125,0.0010178238104465347,304.38968689320393,2.30369395280236
30,2007,12,,1.2934826883910386,1.0496945010183298,0.1690427698574338,166.9939688921807,28.870703764320787,70.04729883362563,169.39443535188215,-99.3471365182565,0.8707015130674003,-0.04645011109935457,0.08126124219659295,0.05068246746376045,0.3763020833333333,0.01967388179241796,0.034811046511627905,0.03951227041210064,0.6236979166666666,1.0,0.08126124219659295,0.4348379677167618,0.7694040697674419,0.12729117777636836,0,0.0,0,1.7694040697674418,2.185707678075856,0.5313043478260869,3.1173469387755097,0.7146313799621928,0.3881792417957038,1.5370563677530389,1.6147181631763503,2.6858037583895205,0.06471816283924843,0.05025923182731986,1.0505263157894738,0,0,0.0,0.0,0.06471816283924844,1.9908549789542151,1.9908549789542151,2.8985466628303884,57.190322568705646,54.898125271362716,57.671925285073684,57.671925285073684,14.195706441088724,2.8985466628303884,0.001131627868709767,664.4456862886046,1.9908549789542151
31,2008,03,,1.3944058976582827,1.1389852558542932,0.2192107545533391,164.0701494118894,28.09756097560976,68.5532142552537,158.34146341463415,-89.78824915938044,0.8696619688460315,-0.06241390272332309,0.06654657200381478,0.04164459044187772,0.3742038216560509,0.015978207838672955,0.02769165727170237,0.031425140112089675,0.6257961783439491,1.0,0.06654657200381478,0.4229956090421207,0.7330890642615558,0.12384244968514632,0,0.0,0,1.7330890642615555,2.2246581801037246,0.5683918669131238,3.203125,0.7088027640078113,0.3836802732151569,2.9504071237059724,0.8725190836808461,3.2670992355605017,0.07888040712468193,0.09674684751510014,0.2957283680175247,0,0,-1.4199066874027997,-1.4918300653594772,0.07888040712468193,1.7316203822450744,1.7316203822450744,2.6041280560370987,62.5322047450944,91.01909801785963,26.916929315248733,26.916929315248733,15.542583861715386,2.6041280560370987,0.0012614365261264845,-272.0229411151287,1.7316203822450744
32,2008,06,,1.3494783904619971,1.0987332339791356,0.286698956780924,161.26444354348266,7.780206677265499,47.5440420715489,39.25874403815581,8.285298033393097,0.4899655382120414,0.936448408676262,-0.016926819379687815,-0.02442732617068721,-0.4431137724550898,-0.009401942808098937,-0.016590940382761946,-0.008240809277078705,1.4431137724550898,1.0,-0.016926819379687815,0.4333086255998128,0.7646289412088668,0.093937125748503,0,0.0,0,1.764628941208867,2.263363156687314,2.29248291571754,11.567816091954025,0.7320077162783796,0.38489447196972654,4.130990415335464,1.6038338658146964,4.916932907348243,-0.12863070539419086,0.1310561524427326,0.3882443928847641,0,0,-1.6346396965865992,-1.701315789473684,-0.12863070539419086,1.7827381935839186,1.7827381935839186,2.6247775187512667,-107.452510373444,51.58576693227091,20.02788476411446,20.02788476411446,-27.01416525854455,2.6247775187512667,0.0011970935341309708,5.283565883554648,1.7827381935839186
33,2008,09,,1.2998731654285196,1.0751947816633447,0.2850154013408226,159.6554663991976,13.602347762289071,52.96944906620081,67.68158473954513,-14.71213567334432,0.726579739217653,0.18696088264794386,0.061985957873620864,0.03851554663991976,0.3786407766990291,0.014688444325440845,0.02536327608982827,0.029965089216446857,0.6213592233009708,1.0,0.061985957873620864,0.4208774815438167,0.7267503302509908,0.0623645259181272,0,0.0,0,1.7267503302509908,2.2861728961247416,1.3297560975609757,6.616504854368932,0.7367176531441662,0.3813640362620969,2.230031948881789,0.19808306709265172,5.025559105431309,0.08854166666666667,0.0700100300902708,0.08882521489971347,0,0,-1.0974842767295598,-1.1594684385382061,0.08854166666666667,1.5810676089828268,1.5810676089828268,2.4009391775325977,62.336884375,386.0865096774194,34.294217191977076,34.294217191977076,15.671843220381525,2.4009391775325977,0.0014203736287817428,9.907318185671897,1.5810676089828268
34,2008,12,,1.2373709940249864,1.0220894441426758,0.27919608908202065,157.0135248479765,22.403196066379838,61.118859727524736,103.8844499078058,-42.765590180281045,0.8294191654434891,0.2226881945900608,0.08114908785908996,0.05168798490249528,0.3630490956072352,0.01868556701030928,0.031845488017569916,0.03710272757777671,0.6369509043927648,1.0,0.08114908785908996,0.41324287446937535,0.7042826690782249,0.055979023111165316,0,0.0,0,1.7042826690782251,2.3246405069461367,0.8663471778487752,4.0172839506172835,0.7008082292432035,0.3615069739235901,2.434083601286173,0.01929260450160772,4.958199356913183,0.06896551724137931,0.07936674355210736,0.007926023778071334,0,0,-1.007989347536618,-1.0557880055788005,0.06896551724137931,1.152859582714295,1.152859582714295,1.8711909414971688,36.201661663285996,2974.5698666666667,23.57651149273448,23.57651149273448,9.043146005848952,1.8711909414971688,0.0019050373400765976,4.354846826801517,1.152859582714295
35,2009,03,,1.5068465154302064,1.2656856734109954,0.5462906192519926,157.89603047806318,30.691244239631327,69.6245120287428,115.46543778801843,-45.840925759275635,0.8666584736389332,0.1810249477694482,0.019540371144156327,0.011920855352095366,0.389937106918239,0.0035917944160556914,0.006237540994148286,0.007190340523673856,0.610062893081761,1.0,0.019540371144156327,0.4241650003702881,0.7366085782264806,0.10979449310206653,0,0.0,0,1.7366085782264806,2.311647727272727,0.7794540229885057,2.9324324324324325,0.5974741170423673,0.3013034140561357,2.463022508038585,0.5337620578778135,8.594855305466236,0.3608247422680412,0.0941378886567531,0.216710182767624,0,0,-1.2766666666666666,-1.3557522123893806,0.3608247422680412,0.7829256510835316,0.7829256510835316,1.4962857072631193,125.5183175257732,73.34504096385542,15.89461723237598,15.89461723237598,31.354374900012427,1.4962857072631193,0.0028746779703603944,3.4988593137254904,0.7829256510835316
36,2009,06,,1.572944297082228,1.2561892130857648,0.506631299734748,157.6305399898115,35.43991416309014,74.30771854413953,132.4892703862661,-58.18155184212657,0.8813041263372389,0.1977840040753948,-0.11130922058074376,-0.11156393275598574,-0.0022883295194508014,-0.03613265137766045,-0.06428885953324527,-0.044320486815415824,1.002288329519451,1.0,-0.11130922058074376,0.4379640323378981,0.7792455599589021,0.1240678837747493,0,0.0,0,1.779245559958902,2.315541138307284,0.6793002915451894,2.5395095367847413,0.5852276962063054,0.32387394819336746,1.705128205128205,0.19230769230769232,7.346153846153847,-0.03881278538812785,0.06775343861436578,0.11278195488721805,0,0,-1.1271186440677967,-1.2146118721461188,-0.038812785388127866,1.204444561867019,1.204444561867019,2.090137748344371,-18.73488767123288,273.52936,30.849175939849626,30.849175939849626,-4.695007994718599,2.090137748344371,0.0020716849798744336,-8.601158413719185,1.204444561867019
37,2009,09,,1.6438497169325783,1.3378795676788469,0.4603705609881626,155.4064177799975,31.377694470477966,69.69708515595681,110.58106841611996,-40.88398326016315,0.8667748782619553,0.17954800849044825,0.03670870270945187,0.022599575477587716,0.3843537414965986,0.007586871777675316,0.0131292615697084,0.014721345951629862,0.6156462585034014,1.0,0.03670870270945187,0.4221402523368403,0.7305237197156536,0.12213448802852775,0,0.0,0,1.7305237197156536,2.3486803519061583,0.8138825324180016,2.868279569892473,0.5915940316147141,0.3357085970574674,2.8782051282051277,0.0576923076923077,5.733974358974358,0.1878453038674033,0.11212386065676114,0.0200445434298441,0,0,-1.0204545454545455,-1.0614657210401892,0.1878453038674033,1.4162120412012185,1.4162120412012185,2.4377449369459363,107.86684640883976,1084.6610666666666,21.741535857461024,21.741535857461024,27.031691630167074,2.4377449369459363,0.0017414554158321,6.424615626021576,1.4162120412012185
38,2009,12,,1.5620296188395242,1.2711823258072348,0.35566885166302503,160.12273150302462,30.493934142114387,69.97625149902458,110.51126516464471,-40.535013665620134,0.8657515123313169,0.20742205677059095,0.06363424848766869,0.040134946486738016,0.3692870201096892,0.014027811661380823,0.024350649350649352,0.02671550671550672,0.6307129798903108,1.0,0.06363424848766869,0.4239245344392941,0.7358836815358555,0.11923411662315055,0,0.0,0,1.7358836815358554,2.279501458499072,0.8143966125617502,2.951406649616368,0.6167754897036665,0.3495161421484915,1.461783439490446,-0.6687898089171974,4.665605095541402,0.10144927536231883,0.053396928804094926,-0.457516339869281,0,0,-0.6860986547085202,-0.7239747634069401,0.10144927536231883,1.7072109966120834,1.7072109966120834,2.813839623080502,70.10946492753622,-115.17983523809522,52.69665664488017,52.69665664488017,17.682226495780217,2.813839623080502,0.0014470125462685366,7.058368776854769,1.7072109966120834
39,2010,03,,1.528591033851784,1.2548032936870996,0.3543000914913083,165.15400528674866,28.171334431630967,68.89423984480186,110.3871499176277,-41.492910072825815,0.8604758073784623,0.1881392943339846,0.0437880703367429,0.02746810711412481,0.3727034120734909,0.009607653963659752,0.01662030598052851,0.018581740148263755,0.6272965879265092,1.0,0.0437880703367429,0.42193278662164335,0.7299026425591099,0.103938185443669,0,20.05263157894737,0,1.7299026425591102,2.2100584201168396,0.8153122901276024,3.1947368421052635,0.6213668499607227,0.349774883421772,1.766025641025641,0.3814102564102564,4.964743589743589,0.14225941422594146,0.06332605447649696,0.2159709618874773,0,0,-1.2754629629629628,-1.384422110552764,0.1422594142259414,1.7003457579972183,1.7003457579972183,2.8101335478680607,102.30532217573221,205.47035294117646,44.375629764065344,44.375629764065344,25.63796025608711,2.8101335478680607,0.0013905377667603562,7.308141582391434,1.7003457579972183
